Main.Study.t Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_Fx Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_Fy Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_Fz Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_Mx Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_My Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_Mz Main.Model.OutputFolder.ExoHumanInteractions.Thigh_Fx Main.Model.OutputFolder.ExoHumanInteractions.Thigh_Fy Main.Model.OutputFolder.ExoHumanInteractions.Thigh_Fz Main.Model.OutputFolder.ExoHumanInteractions.Thigh_Mx Main.Model.OutputFolder.ExoHumanInteractions.Thigh_My Main.Model.OutputFolder.ExoHumanInteractions.Thigh_Mz Main.Model.OutputFolder.ExoHumanInteractions.Shank_Fx Main.Model.OutputFolder.ExoHumanInteractions.Shank_Fy Main.Model.OutputFolder.ExoHumanInteractions.Shank_Fz Main.Model.OutputFolder.ExoHumanInteractions.Shank_Mx Main.Model.OutputFolder.ExoHumanInteractions.Shank_My Main.Model.OutputFolder.ExoHumanInteractions.Shank_Mz Main.Model.OutputFolder.ExoHumanInteractions.Foot_Fx Main.Model.OutputFolder.ExoHumanInteractions.Foot_Fy Main.Model.OutputFolder.ExoHumanInteractions.Foot_Fz Main.Model.OutputFolder.ExoHumanInteractions.Foot_Mx Main.Model.OutputFolder.ExoHumanInteractions.Foot_My Main.Model.OutputFolder.ExoHumanInteractions.Foot_Mz
0.0000000000e+00 6.9679136419e+01 0.0000000000e+00 -7.6110375101e-04 1.0664843566e-04 1.7243417215e-05 3.6693834892e+01 1.6737911276e+02 0.0000000000e+00 3.5617151644e+01 -5.4078154495e+01 -6.2336962493e+01 -5.3281031482e+01 -1.0121467144e+02 0.0000000000e+00 4.4857545742e+01 -4.0801168229e+01 6.0548670271e+01 1.4386713014e+01 5.9402972311e+01 1.6569034576e+02 4.6622417842e+01 -2.7643925318e+00 6.7975090238e+00 -1.5110600594e+00
3.3333333333e-02 6.8610574423e+01 0.0000000000e+00 -7.2951200073e-04 1.0473671810e-04 -7.2501154972e-06 3.6314598986e+01 1.6673404048e+02 0.0000000000e+00 3.5208065074e+01 -5.3507037589e+01 -6.2986028015e+01 -5.2774132994e+01 -1.0153703626e+02 0.0000000000e+00 4.4538051845e+01 -4.0867555803e+01 6.0987832756e+01 1.4789978555e+01 5.7948129697e+01 1.6510236642e+02 4.6311533230e+01 -2.7652331737e+00 6.7722592731e+00 -1.4830527582e+00
6.6666666667e-02 6.7565151505e+01 0.0000000000e+00 -7.0226886178e-04 1.0616755693e-04 -2.1082500408e-05 3.5923856402e+01 1.6622662856e+02 0.0000000000e+00 3.4879286888e+01 -5.3080392809e+01 -6.3817205065e+01 -5.2265825724e+01 -1.0196533773e+02 0.0000000000e+00 4.4314524973e+01 -4.1009049968e+01 6.1553342908e+01 1.5216701136e+01 5.6472834819e+01 1.6467487180e+02 4.6098593481e+01 -2.7747487814e+00 6.7705629673e+00 -1.4675277354e+00
1.0000000000e-01 6.6530034827e+01 0.0000000000e+00 -6.7196962756e-04 1.0827090530e-04 -3.9752209940e-05 3.5521910854e+01 1.6581859544e+02 0.0000000000e+00 3.4541446969e+01 -5.2641271677e+01 -6.4714740026e+01 -5.1728547734e+01 -1.0247143806e+02 0.0000000000e+00 4.4092130608e+01 -4.1169556225e+01 6.2178700900e+01 1.5659129427e+01 5.4973772739e+01 1.6437482285e+02 4.5887274585e+01 -2.7884806333e+00 6.7812099502e+00 -1.4614044848e+00
1.3333333333e-01 6.5502044859e+01 0.0000000000e+00 -6.4213074796e-04 1.0964644272e-04 -5.6304629544e-05 3.5109841686e+01 1.6548617294e+02 0.0000000000e+00 3.4217888894e+01 -5.2228032244e+01 -6.5691616196e+01 -5.1176804278e+01 -1.0303669004e+02 0.0000000000e+00 4.3889386345e+01 -4.1345405996e+01 6.2856057542e+01 1.6122948228e+01 5.3448454610e+01 1.6418032348e+02 4.5695104352e+01 -2.7985044277e+00 6.7851801828e+00 -1.4621610885e+00
1.6666666667e-01 6.4475492470e+01 0.0000000000e+00 -6.1666442467e-04 1.0912600586e-04 -8.5043341468e-05 3.4688147768e+01 1.6521310495e+02 0.0000000000e+00 3.3857343751e+01 -5.1750686461e+01 -6.6679749597e+01 -5.0595197133e+01 -1.0364759779e+02 0.0000000000e+00 4.3670567984e+01 -4.1553590396e+01 6.3573544235e+01 1.6616447574e+01 5.1898263062e+01 1.6407803089e+02 4.5489972394e+01 -2.7709889216e+00 6.7037755205e+00 -1.4661261098e+00
2.0000000000e-01 6.3456784909e+01 0.0000000000e+00 -6.5020757332e-04 1.0079956733e-04 3.5003226587e-05 3.4258551420e+01 1.6498777086e+02 0.0000000000e+00 3.3511508171e+01 -5.1298264707e+01 -6.7707026731e+01 -5.0004380010e+01 -1.0429445241e+02 0.0000000000e+00 4.3426636103e+01 -4.1654772137e+01 6.4240014510e+01 1.7105899928e+01 5.0320150817e+01 1.6405945827e+02 4.5249094969e+01 -2.8145755581e+00 6.7878766961e+00 -1.4789829590e+00
2.3333333333e-01 6.2443945924e+01 0.0000000000e+00 -6.2340321947e-04 1.0491684987e-04 2.9291874683e-05 3.3821605948e+01 1.6480262416e+02 0.0000000000e+00 3.3152842239e+01 -5.0822541718e+01 -6.8732259914e+01 -4.9395494807e+01 -1.0496990062e+02 0.0000000000e+00 4.3147927018e+01 -4.1685376179e+01 6.4860450047e+01 1.7604543636e+01 4.8716156348e+01 1.6411893004e+02 4.4967201396e+01 -2.8840282450e+00 6.9318437432e+00 -1.4973539073e+00
2.6666666667e-01 6.1435946700e+01 0.0000000000e+00 -5.7446796181e-04 9.6390639059e-05 -4.0931914785e-07 3.3377840716e+01 1.6465188305e+02 0.0000000000e+00 3.2747635135e+01 -5.0265481487e+01 -6.9694804687e+01 -4.8756667635e+01 -1.0566812780e+02 0.0000000000e+00 4.2804178611e+01 -4.1638503908e+01 6.5403801699e+01 1.8112318900e+01 4.7087966414e+01 1.6425332935e+02 4.4615048650e+01 -2.9566946973e+00 7.0826593426e+00 -1.5182009374e+00
3.0000000000e-01 6.0434269072e+01 0.0000000000e+00 -5.3770292333e-04 9.2095347980e-05 -2.4412237294e-05 3.2927972575e+01 1.6453345238e+02 0.0000000000e+00 3.2337683569e+01 -4.9694607905e+01 -7.0716136542e+01 -4.8112781286e+01 -1.0638581205e+02 0.0000000000e+00 4.2472242373e+01 -4.1625433143e+01 6.6016632129e+01 1.8661809926e+01 4.5436848780e+01 1.6445828624e+02 4.4276424042e+01 -3.0362105213e+00 7.2480327670e+00 -1.5407322193e+00
