Main.Study.t Main.Model.OutputFolder.ExoJointMoments.Hip_Flexion Main.Model.OutputFolder.ExoJointMoments.Knee_Flexion Main.Model.OutputFolder.ExoJointMoments.Ankle_Flexion
0.0000000000e+000 -1.6715478678e+001 -4.6362284230e+001 9.6362934518e-001
3.3333333333e-002 -1.6578364796e+001 -4.6117831639e+001 9.6287674244e-001
6.6666666667e-002 -1.6433800876e+001 -4.5856056012e+001 9.5634586145e-001
1.0000000000e-001 -1.6282898494e+001 -4.5578858212e+001 9.4359689665e-001
1.3333333333e-001 -1.6126534561e+001 -4.5287702980e+001 9.2395388180e-001
1.6666666667e-001 -1.5965412152e+001 -4.4983735862e+001 8.9665771189e-001
2.0000000000e-001 -1.5800102056e+001 -4.4667862145e+001 8.6096830926e-001
2.3333333333e-001 -1.5631072087e+001 -4.4340801786e+001 8.1623656788e-001
2.6666666667e-001 -1.5458708322e+001 -4.4003128630e+001 7.6195733005e-001
3.0000000000e-001 -1.5283330810e+001 -4.3655299023e+001 6.9780964121e-001
3.3333333333e-001 -1.5105205461e+001 -4.3297673028e+001 6.2368778422e-001
3.6666666667e-001 -1.4924553130e+001 -4.2930530447e+001 5.3972505724e-001
4.0000000000e-001 -1.4741556712e+001 -4.2554082978e+001 4.4631139298e-001
4.3333333333e-001 -1.4556366700e+001 -4.2168483565e+001 3.4410541264e-001
4.6666666667e-001 -1.4369105599e+001 -4.1773833589e+001 2.3404122359e-001
5.0000000000e-001 -1.4179871442e+001 -4.1370188410e+001 1.1733008785e-001
5.3333333333e-001 -1.3988740627e+001 -4.0957561568e+001 -4.5430040453e-003
5.6666666667e-001 -1.3795770151e+001 -4.0535927985e+001 -1.2982794250e-001
6.0000000000e-001 -1.3600999434e+001 -4.0105226238e+001 -2.5652339386e-001
6.3333333333e-001 -1.3404451730e+001 -3.9665360145e+001 -3.8239622648e-001
6.6666666667e-001 -1.3206135238e+001 -3.9216199687e+001 -5.0500675112e-001
7.0000000000e-001 -1.3006043929e+001 -3.8757581373e+001 -6.2174019673e-001
7.3333333333e-001 -1.2804158136e+001 -3.8289308068e+001 -7.2984496318e-001
7.6666666667e-001 -1.2600444918e+001 -3.7811148330e+001 -8.2647835217e-001
8.0000000000e-001 -1.2394858224e+001 -3.7322835225e+001 -9.0876066059e-001
8.3333333333e-001 -1.2187338858e+001 -3.6824064650e+001 -9.7383873889e-001
8.6666666667e-001 -1.1977814241e+001 -3.6314493113e+001 -1.0189603677e+000
9.0000000000e-001 -1.1766197986e+001 -3.5793734913e+001 -1.0415610449e+000
9.3333333333e-001 -1.1552389257e+001 -3.5261358678e+001 -1.0402391239e+000
9.6666666667e-001 -1.1336271885e+001 -3.4716883183e+001 -1.0312661269e+000
1.0000000000e+000 -1.1117713245e+001 -3.4159772292e+001 -1.0214302953e+000
1.0333333333e+000 -1.0896589331e+001 -3.3589508094e+001 -1.0107046046e+000
1.0666666667e+000 -1.0672863613e+001 -3.3005830963e+001 -9.9907031088e-001
1.1000000000e+000 -1.0446508509e+001 -3.2408513777e+001 -9.8651046693e-001
1.1333333333e+000 -1.0217479016e+001 -3.1797282649e+001 -9.7300735081e-001
1.1666666667e+000 -9.9857124314e+000 -3.1171814097e+001 -9.5854222236e-001
1.2000000000e+000 -9.7511278238e+000 -3.0531731506e+001 -9.4309506036e-001
1.2333333333e+000 -9.5136252531e+000 -2.9876600724e+001 -9.2664426849e-001
1.2666666667e+000 -9.2730846772e+000 -2.9205924704e+001 -9.0916635018e-001
1.3000000000e+000 -9.0293645283e+000 -2.8519136940e+001 -8.9063553326e-001
1.3333333333e+000 -8.7822998526e+000 -2.7815593543e+001 -8.7102335062e-001
1.3666666667e+000 -8.5316999826e+000 -2.7094563542e+001 -8.5029814072e-001
1.4000000000e+000 -8.2773455831e+000 -2.6355217076e+001 -8.2842447008e-001
1.4333333333e+000 -8.0189849636e+000 -2.5596610864e+001 -8.0536243585e-001
1.4666666667e+000 -7.7563294209e+000 -2.4817670245e+001 -7.8106683083e-001
1.5000000000e+000 -7.4890473714e+000 -2.4017166742e+001 -7.5548611399e-001
1.5333333333e+000 -7.2167568649e+000 -2.3193689768e+001 -7.2856113552e-001
1.5666666667e+000 -6.9390159625e+000 -2.2345610473e+001 -7.0022352399e-001
1.6000000000e+000 -6.6553101969e+000 -2.1471034876e+001 -6.7039361441e-001
1.6333333333e+000 -6.3650359899e+000 -2.0567742076e+001 -6.3897773090e-001
1.6666666667e+000 -6.0674782814e+000 -1.9633101228e+001 -6.0586455812e-001
1.7000000000e+000 -5.7617797382e+000 -1.8663957346e+001 -5.7092015405e-001
1.7333333333e+000 -5.4468971955e+000 -1.7656470089e+001 -5.3398092655e-001
1.7666666667e+000 -5.1215381428e+000 -1.6605878850e+001 -4.9484339548e-001
1.8000000000e+000 -4.7840645614e+000 -1.5506147360e+001 -4.5324869818e-001
1.8333333333e+000 -4.4323406049e+000 -1.4349400897e+001 -4.0885801100e-001
1.8666666667e+000 -4.0634772917e+000 -1.3124983334e+001 -3.6121130477e-001
1.9000000000e+000 -3.6733729792e+000 -1.1817759944e+001 -3.0965294098e-001
1.9333333333e+000 -3.2557151703e+000 -1.0404445079e+001 -2.5317174348e-001
1.9666666667e+000 -2.8001885827e+000 -8.8469370068e+000 -1.9010281862e-001
2.0000000000e+000 -2.2864360006e+000 -7.0700829253e+000 -1.1715434872e-001
