Main.Study.t Main.Model.OutputFolder.ExoJointPowers.Hip_Flexion Main.Model.OutputFolder.ExoJointPowers.Knee_Flexion Main.Model.OutputFolder.ExoJointPowers.Ankle_Flexion
0.0000000000e+00 5.0847519779e+00 1.4490775240e+01 1.3616971520e-03
3.3333333333e-02 5.3673161967e+00 1.5529976087e+01 5.1837127403e-04
6.6666666667e-02 5.5955953970e+00 1.6425785940e+01 6.3877804128e-05
1.0000000000e-01 5.7807663411e+00 1.7209515627e+01 5.6638906656e-05
1.3333333333e-01 5.9310246187e+00 1.7903698011e+01 5.6805446236e-04
1.6666666667e-01 6.0525523940e+00 1.8525015200e+01 1.6762875503e-03
2.0000000000e-01 6.1501242405e+00 1.9086114666e+01 3.4616843526e-03
2.3333333333e-01 6.2275016127e+00 1.9596780946e+01 6.0028172860e-03
2.6666666667e-01 6.2876983980e+00 2.0064717064e+01 9.3726248664e-03
3.0000000000e-01 6.3331648724e+00 2.0496080711e+01 1.3634353179e-02
3.3333333333e-01 6.3659183383e+00 2.0895861388e+01 1.8837124720e-02
3.6666666667e-01 6.3876379393e+00 2.1268151498e+01 2.5011031662e-02
4.0000000000e-01 6.3997348082e+00 2.1616344993e+01 3.2161700352e-02
4.3333333333e-01 6.4034048575e+00 2.1943285472e+01 4.0264316327e-02
4.6666666667e-01 6.3996691133e+00 2.2251378300e+01 4.9257142391e-02
5.0000000000e-01 6.3894049521e+00 2.2542676685e+01 5.9034611701e-02
5.3333333333e-01 6.3733705849e+00 2.2818948616e+01 6.9440137668e-02
5.6666666667e-01 6.3522244550e+00 2.3081729522e+01 8.0258856827e-02
6.0000000000e-01 6.3265407519e+00 2.3332364159e+01 9.1210613895e-02
6.3333333333e-01 6.2968219180e+00 2.3572040250e+01 1.0194361496e-01
6.6666666667e-01 6.2635088006e+00 2.3801815776e+01 1.1202932079e-01
