Main.Study.t Main.Model.OutputFolder.HumanMuscleEnvelope.Leg_Muscles
0.0000000000e+000 8.9616783139e-002
3.3333333333e-002 9.0082446981e-002
6.6666666667e-002 9.0625580915e-002
1.0000000000e-001 9.1410987592e-002
1.3333333333e-001 9.2354346858e-002
1.6666666667e-001 9.3192414166e-002
2.0000000000e-001 9.4246363257e-002
2.3333333333e-001 9.5131166471e-002
2.6666666667e-001 9.6185456298e-002
3.0000000000e-001 9.6978759466e-002
3.3333333333e-001 9.7796016214e-002
3.6666666667e-001 9.8652366883e-002
4.0000000000e-001 9.9572531339e-002
4.3333333333e-001 1.0046673374e-001
4.6666666667e-001 1.0118829050e-001
5.0000000000e-001 1.0196496023e-001
5.3333333333e-001 1.0257213566e-001
5.6666666667e-001 1.0312104528e-001
6.0000000000e-001 1.0354663063e-001
6.3333333333e-001 1.0399413366e-001
6.6666666667e-001 1.0446173479e-001
7.0000000000e-001 1.0484423101e-001
7.3333333333e-001 1.0512687854e-001
7.6666666667e-001 1.0521781384e-001
8.0000000000e-001 1.0514599864e-001
8.3333333333e-001 1.0505544450e-001
8.6666666667e-001 1.0481267861e-001
9.0000000000e-001 1.0451095342e-001
9.3333333333e-001 1.0425605036e-001
9.6666666667e-001 1.0386397673e-001
1.0000000000e+000 1.0339606860e-001
1.0333333333e+000 1.0299905930e-001
1.0666666667e+000 1.0203781738e-001
1.1000000000e+000 1.0131253868e-001
1.1333333333e+000 1.0050818283e-001
1.1666666667e+000 9.9395293905e-002
1.2000000000e+000 9.8175236700e-002
1.2333333333e+000 9.6586797346e-002
1.2666666667e+000 9.5024742921e-002
1.3000000000e+000 9.3324214865e-002
1.3333333333e+000 9.1468876409e-002
1.3666666667e+000 8.9388884011e-002
1.4000000000e+000 8.7380407620e-002
1.4333333333e+000 8.5220280964e-002
1.4666666667e+000 8.2882604348e-002
1.5000000000e+000 8.0264144320e-002
1.5333333333e+000 7.7271445599e-002
1.5666666667e+000 7.3934465260e-002
1.6000000000e+000 7.0479964310e-002
1.6333333333e+000 6.6834329624e-002
1.6666666667e+000 6.3117026076e-002
1.7000000000e+000 5.9356673048e-002
1.7333333333e+000 5.5467804936e-002
1.7666666667e+000 5.1560053842e-002
1.8000000000e+000 4.7732868240e-002
1.8333333333e+000 4.3931541819e-002
1.8666666667e+000 3.9993552350e-002
1.9000000000e+000 3.6013027290e-002
1.9333333333e+000 3.2329242480e-002
1.9666666667e+000 4.2704378106e-002
2.0000000000e+000 8.8938945360e-002
